,nickname,text,score,like,dislike,time,watch_movie
3656,이슐렝(brix****),법정씬에서 소름 돋았어!,10,0,2,2017-11-04 11:33:00,0
3657,sury****,우리는 아직 갈 길이 멀다,10,0,2,2017-11-03 23:15:00,0
3658,eunji(hoeu****),말이 필요없네요 부장님최고....!,10,0,2,2017-11-03 15:30:00,0
3659,단무지군(mank****),차별과 편견을 이겨내는 과정이 힘겹게 느껴지지 않고 유쾌하다.,10,0,2,2017-11-01 10:36:00,0
3660,이준석0730(asco****),힘이나는영화예요. 그래서 볼만합니다,10,0,2,2017-10-30 19:47:00,0
3661,aris****,시간 가는 줄 모르고 의미있게 봤어요.그녀들의 열정에 진정 박수를 보냅니다.,10,0,2,2017-10-28 16:08:00,0
3662,여누(cyw9****),오랜만에 사이다 먹는 기분이였습니다,10,0,2,2017-10-25 23:39:00,0
3663,상괭이(nigh****),학교에서 이 영화 봤는데진짜 학생이 봐도 개꿀잼인종차별의  문제도 잘 드러나있고아주 잼있음 오랜만에 반애들이랑 하나도 안 떠들고 본 영화,10,0,2,2017-10-25 19:51:00,0
3664,하늘바람(j431****),희망을 가지게 하는 영화입니다. 오랜만에 좋은 영화 잘 봤습니다!,10,0,2,2017-10-22 00:00:00,0
3665,이소현(sohy****),할 말이 필요없고 최고에요!,10,0,2,2017-10-10 02:17:00,0
3666,VEF(hooj****),"연휴마지막날에봤는데 꿈을위해 끊임없이 노력하는 캐서린,메리,도로시의 모습이 너무 인상깊었다ㅠㅠ 이 영화를 자양분삼아 연휴 이후의 생활을 할 수 있을것 같다ㅎㅎ",10,0,2,2017-10-09 02:57:00,0
3667,seoy****,뭐 하나 빠질것 없는 최고의 영화,10,0,2,2017-10-07 04:57:00,0
3668,imhy(rlag****),인종차별 사라져야한다,10,0,2,2017-10-06 01:13:00,0
3669,한라봉(wka_****),차별에 순응하지 않고 맞서 싸우라고 가르쳐주는 영 화,10,0,2,2017-10-04 23:15:00,0
3670,동준이맘(pois****),죄근들어 감동적이게 보게된영화에요 이런영화를 볼수있어서 정말감사합니다,10,0,2,2017-10-03 22:29:00,0
3671,DNCE(cait****),"말이 필요 없는, 숨은 우주 개척자들의 이야기.",10,0,2,2017-10-03 22:04:00,0
3672,olo_****,자극적이지 않았지만 충분히 와닿았던 영화이다.,10,0,2,2017-10-03 17:43:00,0
3673,푸른우표(wjdd****),"그 누구든지 노력하는 자는, 포기하지 않는 자는 역사적인 업적을 만들어낼 잠재성이 풍부하다.",10,0,2,2017-10-03 16:34:00,0
3674,쩡(gose****),"국내에서 크게  인기 끌 종류의 영화는 아니지만, 그래도 꼭 봐야할 영화. 울컥울컥하다가 깔깔깔깔 웃다가,  배경은 우주가 아닌 지구라지만 우주 영화같은 다이나믹함이 폭발한다!",10,0,2,2017-10-01 21:46:00,0
