,nickname,text,score,like,dislike,time,watch_movie
6830,체리(hong****),미국 풍경도 좋고 스토리도 따뜻해요,10,0,0,2019-01-11 23:54:00,관람객
6831,demona(crow****),믿고 보는 배우 비고 모텐슨 / 믿고  먹는 음식 후라이드치킨,10,0,0,2019-01-11 23:51:00,관람객
6832,Sunny LEE(reds****),켄터키프라이드 치킨! 놓칠 수 없지!,10,0,0,2019-01-11 23:49:00,0
6833,바레라(avan****),착한영화.잔잔한 여운,10,0,0,2019-01-11 23:41:00,0
6834,임희명(phan****),정말 가슴이 따뜻해지는 영화입니다...꼭 보세요!,10,0,0,2019-01-11 23:38:00,0
6835,쪽이(okto****),올해 첫 영화로 그린북을 본 건 진짜 잘한일 같다.,10,0,0,2019-01-11 23:34:00,0
6836,엘리사벳(ahhy****),우리 안의 ‘편견’을 일깨워주는 영화..,10,0,0,2019-01-11 23:30:00,관람객
6837,wnfl****,"따뜻하고 소소하게 재밌네요, 영화보길 잘했음 ㅎ",8,0,0,2019-01-11 23:24:00,0
6838,hyoh****,오랫만이 괜찮은 영화를 봤습니다 훈훈하고 유쾌한 영화!!!! 강추^^,10,0,0,2019-01-11 23:20:00,관람객
6839,만인의여인o(juju****),...재미는잇지만 10점은 모르겠어요...,8,0,0,2019-01-11 20:04:00,0
6840,BlackSoul(ddsg****),길 위에서 타인을 배우다,8,0,0,2019-01-11 17:22:00,관람객
6841,스룹바벨(kimy****),감동적이었습니다.굿무비 강추,10,0,0,2019-01-11 16:16:00,관람객
6842,보보스(arca****),"덤앤더머, 내겐 너무 가벼운 당신을 만든 감독이 만들었다는게 믿어지지 않는다. 감독이 나이들어 철이 들은듯.",8,0,0,2019-01-11 16:14:00,0
6843,신명현(hele****),제발 꼭 보세요 인생영화 입니다,10,0,0,2019-01-11 14:32:00,0
6844,홍홍홍(cute****),추운겨을 마음이 따뜻해지는 영화!,10,0,0,2019-01-10 23:23:00,관람객
6845,Moon(rkdd****),기대안하고 봐서그런가 너무 좋았고 감동적!,10,0,0,2019-01-10 11:08:00,0
6846,고소미(seei****),이게 영화다. 이게 영화다.,10,0,0,2019-01-10 09:55:00,0
6847,BeraYang(lieg****),인종차별이라는 무거운 주제를 이렇게 유쾌하게 풀어내다니...정말 최고입니다.,10,0,0,2019-01-10 09:46:00,0
6848,psk(psk5****),영화의 흐름도 좋지만 멋진 배우들을 알게되어 기쁘네요^^,10,0,0,2019-01-10 08:20:00,0
6849,myst****,"완벽하다... 이런 가슴 따뜻해지는 영화, 울림이 있는 영화 많이 보고싶다",10,0,0,2019-01-10 06:51:00,0
6850,Bianca(hk_u****),아주 재미있게 봤어요. 히든 피겨스와 비슷한 감동과 재미가 있네요!,10,0,0,2019-01-10 00:27:00,0
6851,nodoubt(eunv****),음악도 연기도 내용도 좋았던,10,0,0,2019-01-10 00:20:00,0
6852,Tina(gpea****),마음이 따뜻해지는 감동적인 영화였어요.,10,0,0,2019-01-10 00:18:00,0
6853,milk(tngu****),너무너무 좋은영화입니다 꼭 보세요,10,0,0,2019-01-10 00:07:00,0
6854,drea****,처음 제목에서부터 마지막 장면을 지난 끝까지 정말 재미있고 감동있고 의미있는 영화네요진짜 즐겁게 봤어요,10,0,0,2019-01-09 23:58:00,0
6855,ccrg(bewi****),"알고보면 친해질 수 있는 것을 인간들은 선입견 갖고 편견 갖고 차별하는 듯 하다, 1960년대 미국 인종차별이 현실적으로 느껴졌음",9,0,0,2019-01-09 23:51:00,0
6856,임채영(lcy1****),켄터키 치킨 장면 너무 재밌었어요,10,0,0,2019-01-09 23:51:00,관람객
6857,다히(jdah****),품격과 진심. 두 단어가 만나 퇴근길에 힐링을 주네요. 꼭 보세요. 여러분!,10,0,0,2019-01-09 23:08:00,0
6858,무노리(muno****),"꾸미지 않은 담백하고 잔잔한 재미와 음악, 영상, 맛있는 산채정식한상 받은느낌",10,0,0,2019-01-09 22:45:00,관람객
6859,Chandler(chan****),꼭 보시기를..:))),10,0,0,2019-01-09 22:41:00,0
6860,임태양(ckvl****),"예고를 보고 기대를 너무 해서 너무 좋은 소재에 배우에 실망할것이 걱정되었는데 내가 원하는 모든 느낌, 전달할 메세지가 나왔다. 소장해서 여러번 보고 싶은 영화",10,0,0,2019-01-09 22:29:00,0
6861,LYH(dldl****),지금 보고 집가는 길인데 재밌음 ㅎㅎ,8,0,0,2019-01-09 21:57:00,0
6862,레인보우(jsi4****),올해본영화중에 최고!:) 꿀잼,10,0,0,2019-01-09 21:33:00,0
6863,뽀삐(wotj****),생각보다 개그 코드가 잘맞아서 좋았음 ㅋㅋㅋ,8,0,0,2019-01-09 21:29:00,0
